,0
sales,0.5180868852339688
gross_sales,0.19338000016994816
sale_price,0.13036722439965448
segment_Government,0.04692561362398497
discounts,0.03683910883688314
units_sold,0.017588249503950278
cogs,0.013214694359678205
segment_Small Business,0.011614433671262534
discount_band_High,0.0038486984172523297
month_number,0.0030138215015946095
segment_Enterprise,0.0029020256076613426
discount_band_Low,0.0024873236108268666
country_Canada,0.0017235018563439865
discount_band_Medium,0.0016737847135790747
segment_Midmarket,0.0015770539131614374
manufacturing_price,0.0014962844345755726
month_name_November,0.0012397613540782561
segment_Channel Partners,0.0012239594314541779
product_VTT,0.0007987634641829874
product_Velo,0.0006000452535882202
