model,k,inertia,silhouette,train_time_sec
KMeans,2,7608.844543996858,0.3124577045655923,1.7046095000005153
KMeans,3,6870.325798955261,0.15654453591001613,0.07964950000132376
KMeans,4,6325.119975727886,0.1455547206105989,0.08541409999997995
KMeans,5,5967.547011852934,0.11809059292509962,0.07781319999958214
KMeans,6,5699.672332257651,0.12129270934347923,0.08412510000016482
KMeans,7,5491.747529802976,0.12394057180565524,0.09243910000077449
KMeans,8,5281.816927299104,0.12035929758314803,0.10908940000081202
